id,text
FOODON:00003405,CHEBI:52497
FOODON:00003405,CHEBI:5870
FOODON:00003405,CHEBI:60607
FOODON:00003405,CHEBI:6651
FOODON:00003405,CHEBI:67113
FOODON:00003405,CHEBI:6835
FOODON:00003405,CHEBI:70721
FOODON:00003405,CHEBI:78780
FOODON:00003405,CHEBI:81763
FOODON:00003405,CHEBI:81777
FOODON:00003405,CHEBI:81815
FOODON:00003405,CHEBI:81822
FOODON:00003405,CHEBI:81828
FOODON:00003405,CHEBI:81833
FOODON:00003405,CHEBI:81848
FOODON:00003405,CHEBI:81899
FOODON:00003405,CHEBI:81907
FOODON:00003405,CHEBI:81975
FOODON:00003405,CHEBI:82025
FOODON:00003405,CHEBI:82029
FOODON:00003405,CHEBI:82041
FOODON:00003405,CHEBI:83070
FOODON:00003405,CHEBI:83113
FOODON:00003405,CHEBI:83258
FOODON:00003405,CHEBI:83398
FOODON:00003405,CHEBI:84033
FOODON:00003406,CHEBI:132300
FOODON:00003406,CHEBI:132964
FOODON:00003406,CHEBI:133305
FOODON:00003406,CHEBI:133997
FOODON:00003406,CHEBI:16240
FOODON:00003406,CHEBI:26833
FOODON:00003406,CHEBI:3093
FOODON:00003406,CHEBI:32687
FOODON:00003406,CHEBI:3390
FOODON:00003406,CHEBI:34520
FOODON:00003406,CHEBI:34608
FOODON:00003406,CHEBI:34631
FOODON:00003406,CHEBI:34682
FOODON:00003406,CHEBI:34905
FOODON:00003406,CHEBI:34911
FOODON:00003406,CHEBI:34911
FOODON:00003406,CHEBI:34936
FOODON:00003406,CHEBI:35014
FOODON:00003406,CHEBI:35027
FOODON:00003406,CHEBI:3639
FOODON:00003406,CHEBI:3751
FOODON:00003406,CHEBI:38449
FOODON:00003406,CHEBI:38473  
FOODON:00003406,CHEBI:38548
FOODON:00003406,CHEBI:38630
FOODON:00003406,CHEBI:38640
FOODON:00003406,CHEBI:38729
FOODON:00003406,CHEBI:38798
FOODON:00003406,CHEBI:39098
FOODON:00003406,CHEBI:39163
FOODON:00003406,CHEBI:39178
FOODON:00003406,CHEBI:39183
FOODON:00003406,CHEBI:39185
FOODON:00003406,CHEBI:39211
FOODON:00003406,CHEBI:39233
FOODON:00003406,CHEBI:39260
FOODON:00003406,CHEBI:39291
FOODON:00003406,CHEBI:39311
FOODON:00003406,CHEBI:39314
FOODON:00003406,CHEBI:39323
FOODON:00003406,CHEBI:39325
FOODON:00003406,CHEBI:39334
FOODON:00003406,CHEBI:39346
FOODON:00003406,CHEBI:39381
FOODON:00003406,CHEBI:39385
FOODON:00003406,CHEBI:4034
FOODON:00003406,CHEBI:4045
FOODON:00003406,CHEBI:40909
FOODON:00003406,CHEBI:42530
FOODON:00003406,CHEBI:4738
FOODON:00003406,CHEBI:52492
FOODON:00003406,CHEBI:5705
FOODON:00003406,CHEBI:5870
