id	subject	predicate	object	category	relation	provided_by	source
uuid:51815962-727e-11ed-a110-acde48001122	FOODON:00002473	biolink:associated_with	CHEBI:4034	biolink:Association			usda_acup
uuid:518170b4-727e-11ed-a110-acde48001122	FOODON:00002473	biolink:associated_with	CHEBI:4045	biolink:Association			usda_acup
uuid:518187d4-727e-11ed-a110-acde48001122	FOODON:00002473	biolink:associated_with	CHEBI:42530	biolink:Association			usda_acup
uuid:518199c2-727e-11ed-a110-acde48001122	FOODON:00002473	biolink:associated_with	CHEBI:4388	biolink:Association			usda_acup
uuid:5181aa5c-727e-11ed-a110-acde48001122	FOODON:00002473	biolink:associated_with	CHEBI:4791	biolink:Association			usda_acup
uuid:5181baba-727e-11ed-a110-acde48001122	FOODON:00002473	biolink:associated_with	CHEBI:4998	biolink:Association			usda_acup
uuid:5181cb36-727e-11ed-a110-acde48001122	FOODON:00002473	biolink:associated_with	CHEBI:5011	biolink:Association			usda_acup
uuid:5181db8a-727e-11ed-a110-acde48001122	FOODON:00002473	biolink:associated_with	CHEBI:5014	biolink:Association			usda_acup
uuid:5181ebde-727e-11ed-a110-acde48001122	FOODON:00002473	biolink:associated_with	CHEBI:5015	biolink:Association			usda_acup
uuid:5181fc50-727e-11ed-a110-acde48001122	FOODON:00002473	biolink:associated_with	CHEBI:50842	biolink:Association			usda_acup
uuid:51820cae-727e-11ed-a110-acde48001122	FOODON:00002473	biolink:associated_with	CHEBI:5104	biolink:Association			usda_acup
uuid:51821d02-727e-11ed-a110-acde48001122	FOODON:00002473	biolink:associated_with	CHEBI:52492	biolink:Association			usda_acup
uuid:51822d56-727e-11ed-a110-acde48001122	FOODON:00002473	biolink:associated_with	CHEBI:52741	biolink:Association			usda_acup
uuid:51823daa-727e-11ed-a110-acde48001122	FOODON:00002473	biolink:associated_with	CHEBI:5870	biolink:Association			usda_acup
uuid:51824d86-727e-11ed-a110-acde48001122	FOODON:00002473	biolink:associated_with	CHEBI:60607	biolink:Association			usda_acup
uuid:51825db2-727e-11ed-a110-acde48001122	FOODON:00002473	biolink:associated_with	CHEBI:63956	biolink:Association			usda_acup
uuid:51826db6-727e-11ed-a110-acde48001122	FOODON:00002473	biolink:associated_with	CHEBI:6651	biolink:Association			usda_acup
