document_id	matched_term	object_label	object_id
1199	sphingomyelin	sm(d18:0/22:0)	CHEBI:89490
1199	sphingomyelin	sm(d18:0/24:1(15z))	CHEBI:89488
1199	sphingomyelin	sphingomyelin d18:1(1+)	CHEBI:62490
1199	sphingomyelin	sphingomyelin d18:1	CHEBI:17636
1210	tryptophan	tryptophan	CHEBI:27897
1210	tryptophan	l-tryptophan	CHEBI:16828
1210	tryptophan	d-tryptophan zwitterion	CHEBI:57719
1210	tryptophan	l-tryptophan zwitterion	CHEBI:57912
1211	threonine	threonine	CHEBI:26986
1211	threonine	l-threonine	CHEBI:16857
1212	isoleucine	isoleucine	CHEBI:24898
1212	isoleucine	l-isoleucine	CHEBI:17191
1213	leucine	leucine	CHEBI:25017
1213	leucine	l-leucine	CHEBI:15603
1214	lysine	lysine	CHEBI:25094
1214	lysine	l-lysine	CHEBI:18019
1215	methionine	methionine	CHEBI:16811
1215	methionine	l-methionine	CHEBI:16643
1215	methionine	methionine zwitterion	CHEBI:64558
1216	cystine	cystine	CHEBI:17376
1217	phenylalanine	phenylalanine	CHEBI:28044
1217	phenylalanine	l-phenylalanine	CHEBI:17295
1217	phenylalanine	l-phenylalanine zwitterion	CHEBI:58095
1218	tyrosine	tyrosine	CHEBI:18186
1218	tyrosine	l-tyrosine	CHEBI:17895
1219	valine	valine	CHEBI:27266
1219	valine	l-valine	CHEBI:16414
1220	arginine	arginine	CHEBI:29016
1220	arginine	l-arginine	CHEBI:16467
1220	arginine	argininium(1+)	CHEBI:32696
1221	histidine	histidine	CHEBI:27570
1221	histidine	l-histidine	CHEBI:15971
1222	alanine	alanine	CHEBI:16449
1222	alanine	l-alanine residue	CHEBI:46217
1222	alanine	l-alanine	CHEBI:16977
1223	aspartic acid	aspartic acid	CHEBI:22660
1223	acid	acid	CHEBI:37527
1223	aspartic acid	l-aspartic acid	CHEBI:17053
1224	glutamic acid	glutamic acid	CHEBI:18237
1224	acid	acid	CHEBI:37527
1224	glutamic acid	l-glutamic acid	CHEBI:16015
1225	glycine	glycine	CHEBI:15428
1225	glycine	glycine residue	CHEBI:29947
1225	glycine	glycine zwitterion	CHEBI:57305
1226	proline	proline	CHEBI:26271
1226	proline	l-proline	CHEBI:17203
1227	serine	serine	CHEBI:17822
1227	serine	l-serine	CHEBI:17115
1228	hydroxyproline	hydroxyproline	CHEBI:24741
1228	hydroxyproline	trans-4-hydroxy-l-proline	CHEBI:18095
1232	cysteine	cysteine	CHEBI:15356
1232	cysteine	l-cysteine	CHEBI:17561
1253	cholesterol	cholesterol	CHEBI:16113
1257	acids	acid	CHEBI:37527
1257	fatty acids	fatty acid	CHEBI:35366
1258	acids	acid	CHEBI:37527
1258	fatty acids	fatty acid	CHEBI:35366
1259	sfa	saturated fatty acid	CHEBI:26607
1259	4:0	butyric acid	CHEBI:30772
1260	sfa	saturated fatty acid	CHEBI:26607
1260	6:0	hexanoic acid	CHEBI:30776
1261	sfa	saturated fatty acid	CHEBI:26607
1261	8:0	octanoic acid	CHEBI:28837
1262	sfa	saturated fatty acid	CHEBI:26607
1262	10:0	decanoic acid	CHEBI:30813
1263	sfa	saturated fatty acid	CHEBI:26607
1264	sfa	saturated fatty acid	CHEBI:26607
1264	14	tetradecanoic acid	CHEBI:28875
1264	14:0	tetradecanoic acid	CHEBI:28875
1265	sfa	saturated fatty acid	CHEBI:26607
1266	sfa	saturated fatty acid	CHEBI:26607
1266	18:0	octadecanoic acid	CHEBI:28842
1267	sfa	saturated fatty acid	CHEBI:26607
1268	mufa	monounsaturated fatty acid	CHEBI:25413
1269	pufa	polyunsaturated fatty acid anion	CHEBI:76567
1269	pufa	polyunsaturated fatty acid	CHEBI:26208
1269	18:2	laballenic acid	CHEBI:24993
1269	18:2	octadecadienoic acid	CHEBI:25627
1270	pufa	polyunsaturated fatty acid anion	CHEBI:76567
1270	pufa	polyunsaturated fatty acid	CHEBI:26208
1270	18:3	conjugated linolenic acid	CHEBI:61160
1270	18:3	octadecatrienoic acid	CHEBI:25633
1271	pufa	polyunsaturated fatty acid anion	CHEBI:76567
1271	pufa	polyunsaturated fatty acid	CHEBI:26208
1271	20:4	icosatetraenoic acid	CHEBI:36033
1272	pufa	polyunsaturated fatty acid anion	CHEBI:76567
1272	pufa	polyunsaturated fatty acid	CHEBI:26208
1272	n	neutron	CHEBI:30222
1272	dha	all-cis-docosa-4,7,10,13,16,19-hexaenoic acid	CHEBI:28125
1272	dha	dehydroepiandrosterone	CHEBI:28689
1272	dha	dihydroxyacetone	CHEBI:16016
1272	dha	docosahexaenoic acid	CHEBI:36005
1273	sfa	saturated fatty acid	CHEBI:26607
1276	pufa	polyunsaturated fatty acid anion	CHEBI:76567
1276	pufa	polyunsaturated fatty acid	CHEBI:26208
1276	18:4	octadecatetraenoic acid	CHEBI:37810
1277	mufa	monounsaturated fatty acid	CHEBI:25413
1277	20:1	(11z)-icos-11-enoic acid	CHEBI:32425
1277	20:1	icosenoic acid	CHEBI:23902
1278	pufa	polyunsaturated fatty acid anion	CHEBI:76567
1278	pufa	polyunsaturated fatty acid	CHEBI:26208
1278	n	neutron	CHEBI:30222
1278	epa	all-cis-5,8,11,14,17-icosapentaenoic acid	CHEBI:28364
1279	mufa	monounsaturated fatty acid	CHEBI:25413
1279	22:1	docosenoic acid	CHEBI:36031
1280	pufa	polyunsaturated fatty acid anion	CHEBI:76567
1280	pufa	polyunsaturated fatty acid	CHEBI:26208
1280	22:5	docosapentaenoic acid	CHEBI:61204
1280	n	neutron	CHEBI:30222
1280	dpa	(7z,10z,13z,16z,19z)-docosapentaenoic acid	CHEBI:53488
1280	dpa	9,10-diphenylanthracene	CHEBI:51676
1280	dpa	diphenylamine	CHEBI:4640
1280	dpa	propanil	CHEBI:34936
1280	dpa	valproic acid	CHEBI:39867
1281	tfa	trifluoroacetic acid	CHEBI:45892
1281	tfa	trifluoroacetate	CHEBI:27110
1281	14	tetradecanoic acid	CHEBI:28875
1281	14:1	tetradecenoic acid	CHEBI:36004
1281	t	ribothymidine	CHEBI:45996
1281	t	top quark	CHEBI:36371
1281	t	triton	CHEBI:29234
1292	acids	acid	CHEBI:37527
1292	fatty acids	fatty acid	CHEBI:35366
1293	acids	acid	CHEBI:37527
1293	fatty acids	fatty acid	CHEBI:35366
1299	sfa	saturated fatty acid	CHEBI:26607
1300	sfa	saturated fatty acid	CHEBI:26607
1300	17:0	heptadecanoic acid	CHEBI:32365
1301	sfa	saturated fatty acid	CHEBI:26607
1303	tfa	trifluoroacetic acid	CHEBI:45892
1303	tfa	trifluoroacetate	CHEBI:27110
1303	16:1	hexadecenoic acid	CHEBI:24548
1303	t	ribothymidine	CHEBI:45996
1303	t	top quark	CHEBI:36371
1303	t	triton	CHEBI:29234
1304	tfa	trifluoroacetic acid	CHEBI:45892
